"latitude","longitude"
43.6091282,-96.4556842
43.6085803,-96.4964683
43.6086607,-96.7704151
43.5651338,-96.7787761
43.9019252,-96.7583331
42.848252,-96.795852
42.5217339,-96.4991979
42.6030594,-96.5740086
43.0079102,-96.7955151
42.7832418,-96.7888608
42.6666962,-96.6621138
42.5479513,-96.5068501
42.9497836,-96.7947362
42.4997675,-96.486832
42.6892709,-96.6970086
39.8406563,-95.5307484
39.8403013,-95.4931263
39.8404333,-95.4851137
39.8411967,-95.4093941
39.8418171,-95.4195562
39.8408178,-95.5409179
39.8412157,-95.5523307
41.0154441,-96.3058942
41.0081661,-96.3107115
42.449579,-96.407056
42.449014,-96.435045
42.449267,-96.436723
42.449275,-96.430324
42.4469538,-96.3814454
42.4491428,-96.419962
41.2624262,-95.9506275
41.345184,-95.971141
41.345339,-95.960047
41.343309,-96.018298
41.2802049,-96.0758345
41.2596453,-95.9227102
41.2657778,-95.953144
41.2629537,-96.163222
41.2912057,-96.0739003
41.2853126,-95.9524508
41.2761516,-95.952601
41.226353,-96.0865292
41.2318133,-96.0865349
41.2191453,-96.0916784
41.2288142,-96.0877962
41.2380514,-96.0863843
41.208433,-95.9491556
41.2630622,-96.1241352
41.2627036,-96.2417336
41.279587,-95.9522942
41.3184135,-96.0701346
41.2630174,-96.1431522
41.2630697,-95.9443359
41.2188068,-96.0907617
41.2086683,-95.9493899
41.2245482,-96.0823529
41.2229305,-96.0738959
41.2451451,-96.085298
41.2699689,-95.9523575
41.296099,-95.9520811
41.2268234,-95.9590478
41.2428207,-95.9538348
41.310741,-96.0707714
41.2177092,-96.0910728
41.2297372,-96.0872843
41.2127423,-96.0907419
41.2717314,-96.076141
41.2307413,-95.9251698
41.215886,-96.0912909
41.2414923,-96.0860249
41.26573,-95.9519522
41.2359781,-95.9538158
41.2072058,-96.0933512
41.339727,-96.028502
41.2114012,-96.092124
41.2631109,-96.1339763
41.347131,-95.988348
41.2170642,-95.9534289
41.2634353,-95.9478624
41.2634634,-95.9497086
41.26226,-95.930488
41.3018953,-96.0708649
41.346625,-95.977232
41.2576565,-95.9537524
41.2224098,-95.9520384
41.2017022,-95.9475915
41.2144721,-95.9525223
41.2998647,-95.9516575
41.2238853,-96.0173486
41.2223155,-96.0508519
41.2226455,-95.9826446
41.2323518,-95.9551205
40.862105,-96.716497
40.864472,-96.71302
40.8671299,-96.7078019
40.8145117,-96.7551645
40.895483,-96.554057
40.8910082,-96.6750286
40.8953364,-96.5671117
40.839694,-96.73886
40.8105152,-96.7534226
